"DONNEES - Effectifs des médecins"
"SEXE - Ensemble tous sexes confondus"
"SECT.ACTIVITE - ENSEMBLE"

;;ANNEE;"2015"
"Alsace-Champagne-Ardenne-Lorraine";"Médecine nucléaire";"Entre 65 et 69 ans";3
"Alsace-Champagne-Ardenne-Lorraine";"Médecine nucléaire";"70 ans et plus";0
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Ensemble tous âges confondus";210
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Moins de 30 ans";6
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 30 et 34 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 35 et 39 ans";19
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 40 et 44 ans";20
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 45 et 49 ans";24
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 50 et 54 ans";12
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 55 et 59 ans";46
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 60 et 64 ans";38
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"Entre 65 et 69 ans";25
"Alsace-Champagne-Ardenne-Lorraine";"Médecine physique et réadaptation";"70 ans et plus";2
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Ensemble tous âges confondus";135
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Moins de 30 ans";9
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 30 et 34 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 35 et 39 ans";14
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 40 et 44 ans";17
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 45 et 49 ans";13
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 50 et 54 ans";26
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 55 et 59 ans";17
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 60 et 64 ans";13
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"Entre 65 et 69 ans";4
"Alsace-Champagne-Ardenne-Lorraine";"Néphrologie";"70 ans et plus";4
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Ensemble tous âges confondus";50
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Moins de 30 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 30 et 34 ans";9
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 35 et 39 ans";9
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 40 et 44 ans";12
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 45 et 49 ans";3
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 50 et 54 ans";3
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 55 et 59 ans";8
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 60 et 64 ans";2
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"Entre 65 et 69 ans";3
"Alsace-Champagne-Ardenne-Lorraine";"Neurochirurgie";"70 ans et plus";1
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Ensemble tous âges confondus";176
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Moins de 30 ans";7
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 30 et 34 ans";25
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 35 et 39 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 40 et 44 ans";23
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 45 et 49 ans";21
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 50 et 54 ans";33
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 55 et 59 ans";22
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 60 et 64 ans";21
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"Entre 65 et 69 ans";6
"Alsace-Champagne-Ardenne-Lorraine";"Neurologie";"70 ans et plus";0
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Ensemble tous âges confondus";213
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Moins de 30 ans";1
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 30 et 34 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 35 et 39 ans";15
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 40 et 44 ans";14
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 45 et 49 ans";15
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 50 et 54 ans";27
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 55 et 59 ans";54
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 60 et 64 ans";41
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"Entre 65 et 69 ans";26
"Alsace-Champagne-Ardenne-Lorraine";"ORL et chirurgie cervico-faciale";"70 ans et plus";2
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Ensemble tous âges confondus";62
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Moins de 30 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 30 et 34 ans";3
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 35 et 39 ans";7
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 40 et 44 ans";6
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 45 et 49 ans";13
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 50 et 54 ans";11
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 55 et 59 ans";9
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 60 et 64 ans";8
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"Entre 65 et 69 ans";4
"Alsace-Champagne-Ardenne-Lorraine";"Oncologie option médicale";"70 ans et plus";1
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Ensemble tous âges confondus";422
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Moins de 30 ans";3
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 30 et 34 ans";31
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 35 et 39 ans";34
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 40 et 44 ans";28
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 45 et 49 ans";37
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 50 et 54 ans";35
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 55 et 59 ans";112
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 60 et 64 ans";90
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"Entre 65 et 69 ans";33
"Alsace-Champagne-Ardenne-Lorraine";"Ophtalmologie";"70 ans et plus";19
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Ensemble tous âges confondus";606
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Moins de 30 ans";20
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 30 et 34 ans";70
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 35 et 39 ans";58
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 40 et 44 ans";54
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 45 et 49 ans";65
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 50 et 54 ans";66
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 55 et 59 ans";120
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 60 et 64 ans";97
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"Entre 65 et 69 ans";45
"Alsace-Champagne-Ardenne-Lorraine";"Pédiatrie";"70 ans et plus";11
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Ensemble tous âges confondus";240
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Moins de 30 ans";5
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 30 et 34 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 35 et 39 ans";22
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 40 et 44 ans";28
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 45 et 49 ans";27
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 50 et 54 ans";25
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 55 et 59 ans";57
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 60 et 64 ans";44
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"Entre 65 et 69 ans";12
"Alsace-Champagne-Ardenne-Lorraine";"Pneumologie";"70 ans et plus";2
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Ensemble tous âges confondus";974
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Moins de 30 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 30 et 34 ans";109
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 35 et 39 ans";99
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 40 et 44 ans";85
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 45 et 49 ans";99
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 50 et 54 ans";116
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 55 et 59 ans";139
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 60 et 64 ans";187
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"Entre 65 et 69 ans";89
"Alsace-Champagne-Ardenne-Lorraine";"Psychiatrie";"70 ans et plus";33
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Ensemble tous âges confondus";698
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Moins de 30 ans";7
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 30 et 34 ans";51
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 35 et 39 ans";71
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 40 et 44 ans";55
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 45 et 49 ans";66
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 50 et 54 ans";104
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 55 et 59 ans";142
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 60 et 64 ans";115
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"Entre 65 et 69 ans";70
"Alsace-Champagne-Ardenne-Lorraine";"Radiodiagnostic et imagerie médicale";"70 ans et plus";17
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Ensemble tous âges confondus";72
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Moins de 30 ans";2
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 30 et 34 ans";14
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 35 et 39 ans";8
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 40 et 44 ans";6
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 45 et 49 ans";10
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 50 et 54 ans";7
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 55 et 59 ans";11
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 60 et 64 ans";10
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"Entre 65 et 69 ans";3
"Alsace-Champagne-Ardenne-Lorraine";"Radiothérapie";"70 ans et plus";1
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Ensemble tous âges confondus";37
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Moins de 30 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 30 et 34 ans";2
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 35 et 39 ans";4
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 40 et 44 ans";5
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 45 et 49 ans";10
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 50 et 54 ans";9
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 55 et 59 ans";5
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 60 et 64 ans";1
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"Entre 65 et 69 ans";1
"Alsace-Champagne-Ardenne-Lorraine";"Réanimation médicale";"70 ans et plus";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Ensemble tous âges confondus";1
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Moins de 30 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 30 et 34 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 35 et 39 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 40 et 44 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 45 et 49 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 50 et 54 ans";1
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 55 et 59 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 60 et 64 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"Entre 65 et 69 ans";0
"Alsace-Champagne-Ardenne-Lorraine";"Recherche médicale";"70 ans et plus";0
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Ensemble tous âges confondus";188
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Moins de 30 ans";9
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 30 et 34 ans";9
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 35 et 39 ans";17
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 40 et 44 ans";8
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 45 et 49 ans";26
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 50 et 54 ans";19
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 55 et 59 ans";46
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 60 et 64 ans";31
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"Entre 65 et 69 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"Rhumatologie";"70 ans et plus";5
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Ensemble tous âges confondus";125
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Moins de 30 ans";2
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 30 et 34 ans";17
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 35 et 39 ans";11
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 40 et 44 ans";11
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 45 et 49 ans";13
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 50 et 54 ans";18
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 55 et 59 ans";27
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 60 et 64 ans";19
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"Entre 65 et 69 ans";7
"Alsace-Champagne-Ardenne-Lorraine";"Santé publique et médecine sociale";"70 ans et plus";0
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Ensemble tous âges confondus";8388
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Moins de 30 ans";159
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 30 et 34 ans";655
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 35 et 39 ans";677
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 40 et 44 ans";804
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 45 et 49 ans";958
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 50 et 54 ans";1423
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 55 et 59 ans";1633
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 60 et 64 ans";1372
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"Entre 65 et 69 ans";569
"Alsace-Champagne-Ardenne-Lorraine";"Généralistes";"70 ans et plus";138
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Ensemble tous âges confondus";8388
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Moins de 30 ans";159
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 30 et 34 ans";655
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 35 et 39 ans";677
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 40 et 44 ans";804
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 45 et 49 ans";958
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 50 et 54 ans";1423
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 55 et 59 ans";1633
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 60 et 64 ans";1372
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"Entre 65 et 69 ans";569
"Alsace-Champagne-Ardenne-Lorraine";"Médecine générale";"70 ans et plus";138
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Ensemble tous âges confondus";19609
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Moins de 30 ans";306
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 30 et 34 ans";1639
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 35 et 39 ans";1748
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 40 et 44 ans";1893
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 45 et 49 ans";2173
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 50 et 54 ans";2887
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 55 et 59 ans";3577
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 60 et 64 ans";3455
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"Entre 65 et 69 ans";1555
"Aquitaine-Limousin-Poitou-Charentes";"Ensemble des spécialités d'exercice";"70 ans et plus";376
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Ensemble tous âges confondus";9847
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Moins de 30 ans";162
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 30 et 34 ans";853
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 35 et 39 ans";992
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 40 et 44 ans";897
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 45 et 49 ans";1114
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 50 et 54 ans";1296
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 55 et 59 ans";1807
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 60 et 64 ans";1716
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"Entre 65 et 69 ans";794
"Aquitaine-Limousin-Poitou-Charentes";"Spécialistes";"70 ans et plus";216
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Ensemble tous âges confondus";143
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Moins de 30 ans";0
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 30 et 34 ans";11
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 35 et 39 ans";15
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 40 et 44 ans";14
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 45 et 49 ans";14
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 50 et 54 ans";32
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 55 et 59 ans";18
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 60 et 64 ans";29
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"Entre 65 et 69 ans";7
"Aquitaine-Limousin-Poitou-Charentes";"Anatomie et cytologie pathologiques";"70 ans et plus";3
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Ensemble tous âges confondus";944
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Moins de 30 ans";4
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 30 et 34 ans";81
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 35 et 39 ans";114
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 40 et 44 ans";106
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 45 et 49 ans";101
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 50 et 54 ans";90
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 55 et 59 ans";175
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 60 et 64 ans";198
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"Entre 65 et 69 ans";66
"Aquitaine-Limousin-Poitou-Charentes";"Anesthésie-réanimation";"70 ans et plus";9
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Ensemble tous âges confondus";258
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Moins de 30 ans";6
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 30 et 34 ans";23
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 35 et 39 ans";31
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 40 et 44 ans";24
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 45 et 49 ans";52
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 50 et 54 ans";66
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 55 et 59 ans";31
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 60 et 64 ans";16
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"Entre 65 et 69 ans";7
"Aquitaine-Limousin-Poitou-Charentes";"Biologie médicale";"70 ans et plus";2
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Ensemble tous âges confondus";620
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Moins de 30 ans";15
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 30 et 34 ans";54
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 35 et 39 ans";64
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 40 et 44 ans";58
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 45 et 49 ans";74
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 50 et 54 ans";91
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 55 et 59 ans";95
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 60 et 64 ans";93
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"Entre 65 et 69 ans";60
"Aquitaine-Limousin-Poitou-Charentes";"Cardiologie et maladies vasculaires";"70 ans et plus";16
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Ensemble tous âges confondus";315
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Moins de 30 ans";9
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 30 et 34 ans";72
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 35 et 39 ans";22
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 40 et 44 ans";13
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 45 et 49 ans";17
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 50 et 54 ans";13
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 55 et 59 ans";65
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 60 et 64 ans";56
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"Entre 65 et 69 ans";40
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie générale";"70 ans et plus";8
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie maxillo-faciale et stomatologie";"Ensemble tous âges confondus";90
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie maxillo-faciale et stomatologie";"Moins de 30 ans";0
"Aquitaine-Limousin-Poitou-Charentes";"Chirurgie maxillo-faciale et stomatologie";"Entre 30 et 34 ans";6
